symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-14NOV25-126000-P-USDT,111835.22300662,14822.30425558,0.0,0.0,-0.87541568,1.851e-05,55.14174457,-54.1595767,0.4133,2025-10-24 10:05:29.110099
BTC-14NOV25-112000-P-USDT,111833.21646367,4535.26160204,0.0,0.0,-0.48606831,3.575e-05,107.04596342,-105.69485166,0.4155,2025-10-24 10:05:29.440503
BTC-14NOV25-98000-P-USDT,111833.21646367,823.82702229,1.76,1.76,-0.12007524,1.512e-05,53.73223526,-62.96789332,0.4931,2025-10-24 10:05:29.793576
BTC-14NOV25-94000-C-USDT,111833.21646367,18328.21217487,0.0,0.0,0.92536943,1.002e-05,37.86304603,-47.21139308,0.5247,2025-10-24 10:05:30.146789
BTC-14NOV25-109000-C-USDT,111833.91922473,6064.88040204,0.02,0.04,0.61864634,3.33e-05,102.33934616,-103.70465676,0.4264,2025-10-24 10:05:30.482323
BTC-14NOV25-116000-P-USDT,111833.91922473,6828.5139167,0.0,0.0,-0.6276039,3.463e-05,101.58487867,-98.25110934,0.407,2025-10-24 10:05:30.814905
BTC-14NOV25-111000-P-USDT,111833.91922473,4061.23979815,1.15,1.16,-0.45037204,3.522e-05,106.28207046,-105.75441367,0.4187,2025-10-24 10:05:31.142668
BTC-14NOV25-106000-P-USDT,111831.98021311,2256.20059124,0.03,0.83,-0.28809236,2.884e-05,91.61866683,-95.99206966,0.4409,2025-10-24 10:05:31.774980
BTC-14NOV25-100000-P-USDT,111831.98021311,1063.14922371,5.12,5.12,-0.15128864,1.826e-05,62.95727591,-71.59445079,0.4785,2025-10-24 10:05:32.105037
BTC-14NOV25-116000-C-USDT,111799.48654994,2661.70973733,0.03,7.23,0.37232891,3.463e-05,101.57721505,-98.24374528,0.407,2025-10-24 10:05:32.456127
