symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-26OCT25-200-P-USDT,193.2136726,8.46789505,0.0,0.0,-0.7296274,0.03168465,0.04840551,-0.82558771,0.7139,2025-10-24 08:46:41.498650
SOL-26OCT25-155-P-USDT,193.21372015,0.03823095,0.0,0.0,-0.00655644,0.00105199,0.00269066,-0.07682951,1.1951,2025-10-24 08:46:42.130738
SOL-26OCT25-195-P-USDT,193.21372015,5.16292843,0.0,0.0,-0.55649136,0.03759593,0.05777742,-0.99129426,0.7181,2025-10-24 08:46:42.477576
SOL-26OCT25-190-C-USDT,193.21372015,6.09475554,1.0,11.0,0.62792869,0.03481135,0.05533645,-0.98203915,0.7428,2025-10-24 08:46:42.815480
SOL-26OCT25-215-P-USDT,193.21953795,21.96591631,0.0,0.0,-0.9605556,0.00737564,0.01246429,-0.23515951,0.7896,2025-10-24 08:46:43.146939
SOL-26OCT25-191-C-USDT,193.21953795,5.47310755,1.0,3.0,0.59294379,0.03602733,0.05677391,-0.99878345,0.7363,2025-10-24 08:46:43.482316
SOL-26OCT25-178-P-USDT,193.21953795,0.60929135,0.0,0.0,-0.09917772,0.01379402,0.0255209,-0.52711688,0.8645,2025-10-24 08:46:43.810821
SOL-26OCT25-201-C-USDT,193.22080077,1.45137149,0.0,0.0,0.24138862,0.0298005,0.04562369,-0.77976353,0.7153,2025-10-24 08:46:44.143350
SOL-26OCT25-210-P-USDT,193.22080077,17.15092567,0.0,0.0,-0.92342215,0.01302341,0.02104062,-0.37948715,0.7549,2025-10-24 08:46:44.472664
SOL-26OCT25-175-C-USDT,193.22080077,18.63449357,0.0,0.0,0.93093372,0.01005843,0.01944136,-0.4194959,0.9031,2025-10-24 08:46:44.805008
SOL-26OCT25-192-P-USDT,193.22080077,3.66713096,8.0,8.0,-0.4434429,0.03695234,0.05777785,-1.00852282,0.7306,2025-10-24 08:46:45.137768
SOL-26OCT25-165-C-USDT,193.22077606,28.34094592,0.0,0.0,0.97922656,0.00327554,0.00731506,-0.1823744,1.0434,2025-10-24 08:46:45.791880
SOL-26OCT25-220-C-USDT,193.22077606,0.0909345,0.0,0.0,0.02077021,0.00412538,0.0073141,-0.14476613,0.8284,2025-10-24 08:46:46.128799
SOL-26OCT25-192-C-USDT,193.22093919,4.88798864,1.0,3.0,0.55656238,0.03695242,0.05777746,-1.00852797,0.7306,2025-10-24 08:46:46.462785
SOL-26OCT25-197-P-USDT,193.22093919,6.36363942,0.0,0.0,-0.6297936,0.03615695,0.05524818,-0.94244956,0.714,2025-10-24 08:46:46.794263
SOL-26OCT25-186-C-USDT,193.22145586,8.95375229,0.0,0.0,0.75112764,0.02794308,0.046379,-0.85937436,0.7755,2025-10-24 08:46:47.129796
SOL-26OCT25-160-P-USDT,193.22145586,0.06701704,0.0,0.0,-0.0115798,0.00185121,0.00443031,-0.11836705,1.1182,2025-10-24 08:46:47.458580
SOL-26OCT25-180-C-USDT,193.22145586,14.01211222,0.0,0.0,0.87415467,0.01682996,0.03025829,-0.6073261,0.84,2025-10-24 08:46:47.785860
SOL-26OCT25-205-P-USDT,193.22145586,12.57083914,0.0,0.0,-0.85226617,0.02167508,0.03376578,-0.58723138,0.7279,2025-10-24 08:46:48.114057
SOL-26OCT25-155-C-USDT,193.22191485,38.26011055,0.0,0.0,0.99344967,0.00105102,0.00268851,-0.07677703,1.1952,2025-10-24 08:46:48.446245
SOL-26OCT25-188-P-USDT,193.22191485,2.23982772,1.0,1.0,-0.30637729,0.03165534,0.05134797,-0.92986259,0.7579,2025-10-24 08:46:48.779444
SOL-26OCT25-165-P-USDT,193.22339375,0.12012872,1.0,1.0,-0.02076657,0.00327452,0.00731303,-0.18233296,1.0435,2025-10-24 08:46:49.424175
SOL-26OCT25-201-P-USDT,193.22339375,9.22879849,0.0,0.0,-0.75850442,0.02980809,0.04563482,-0.7799663,0.7153,2025-10-24 08:46:49.752752
SOL-26OCT25-150-C-USDT,193.22339375,43.24559608,0.0,0.0,0.99623971,0.0006013,0.00163986,-0.04992801,1.2742,2025-10-24 08:46:50.081407
SOL-26OCT25-180-P-USDT,193.22438606,0.79035381,55.0,57.0,-0.12580186,0.01682521,0.0302512,-0.60721482,0.8401,2025-10-24 08:46:50.415770
SOL-26OCT25-170-P-USDT,193.22438606,0.22035732,0.0,0.0,-0.03772168,0.00578059,0.01201925,-0.27899753,0.9715,2025-10-24 08:46:50.744252
SOL-26OCT25-188-C-USDT,193.22438606,7.46352002,1.0,1.0,0.69369838,0.03165097,0.05134274,-0.92979841,0.7579,2025-10-24 08:46:51.076150
SOL-26OCT25-184-C-USDT,193.22733509,10.56174821,0.0,0.0,0.80030653,0.02403929,0.04092132,-0.77765479,0.7953,2025-10-24 08:46:51.408096
SOL-26OCT25-199-P-USDT,193.22733509,7.72219118,0.0,0.0,-0.69786643,0.03343674,0.05103098,-0.86946708,0.7131,2025-10-24 08:46:51.732783
SOL-26OCT25-184-P-USDT,193.22733509,1.33441312,10.0,13.0,-0.19969348,0.02403929,0.04092132,-0.77765479,0.7953,2025-10-24 08:46:52.066451
SOL-26OCT25-194-C-USDT,193.22658031,3.84301168,0.0,0.0,0.48172552,0.03775946,0.05830456,-1.00507062,0.7215,2025-10-24 08:46:52.402147
SOL-26OCT25-205-C-USDT,193.22658031,0.79291849,3.0,3.0,0.1478311,0.02168524,0.03378109,-0.58749007,0.7279,2025-10-24 08:46:53.035306
SOL-26OCT25-178-C-USDT,193.22112519,15.83023971,0.0,0.0,0.90084605,0.01379161,0.02551593,-0.52705334,0.8645,2025-10-24 08:46:53.379755
